sha256,label,parse_ok,file_size,page_count,metadata_field_count,suspicious_keyword_total,is_encrypted,javascript_count,has_javascript,js_count,has_js,openaction_count,has_openaction,aa_count,has_aa,launch_count,has_launch,uri_count,has_uri,embeddedfile_count,has_embeddedfile,encrypt_count,has_encrypt,objstm_count,has_objstm,richmedia_count,has_richmedia,acroform_count,has_acroform,action_keyword_total,embedded_or_script_total,stream_like_keyword_total,high_risk_keyword_total,keyword_density_per_page
560a20c1a370975aca85d8d1511e79e2989291130dc854341beaea26f4aae417,benign,1,17314,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
97c10e79b0bf778c331f6b4f334254f6fa7b2eec043fdc03b9d6f7f45fbf500f,benign,1,16041,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
f8a49a8b52e0ff26c01efadd7684be2096ae5e27342cdebe301d6e1f40d4a6eb,benign,1,14292,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
daa1e96a8cb6bcb4f3f209afbf956f280717e99210a114d68bf4ebdbf1ca1518,benign,1,253167,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
afe024bfa1b482f6f482d72db316444c74711b9c8cb380c28a720432b37c8994,benign,1,19421,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
929a783b720db105942f97486f3442b52d12342d84af67af2f4e1eb0542fe7f5,benign,1,25723,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
f021fc3c9f3cd8e7652ac508dcc9dbf4840974b9901f94ea109af615237426a8,benign,1,28406,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
90064baf064af98ec26d18791ca05d39f8a13521a982d86cd1b090a6b9fe265e,benign,1,45329,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
03556b0b9e6ca9c4af4ab646a1142e2ec024a4b5e65024a866bce90a95208593,benign,1,67892,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
07cd027ccbeddd5ad718e8003209ee32b0964566f64b0d0d85aad3ee782d4a90,benign,1,16363,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
d165f46e9e478baab788721136701692a238cc08527a748e907e2ab644bde6fd,benign,1,193564,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9c38f6dfb292e3b65d01ac31e9fccd3563cfce09bec4696248c7b35c2b736bdb,benign,1,124332,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26ca37bd22d0b633064c87d2733c4a97f3fa90689e33753ad0b31dd695b7cc94,benign,1,39661,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
09b9bcef6c8cf364ec8c5b0a3448fe9d832fb2fa9b37b5cd60a056b344752186,benign,1,43214,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cb7e9c598e2d5cefa308a7a91202f6cb76ceef4383ad60a568ee6542c67cffc2,benign,1,22033,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
af03269204e02f90403632bc064bd6614a5c5e139a920897823cae0dc054e78a,benign,1,173530,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26246e532ca26d326b26b8c4b82123b5a088f4ec210d489238fda3824e0e46d9,benign,1,44414,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
64d58a49ea13fa71632624f23a4b7ad663d6b68cc15d79ddab1d43811d6aa49a,benign,1,155561,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
48bceca9c1114a29fc8944e1decc0ff7b6a763cda19dc2abb428877c72e2b44d,benign,1,45100,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9495ee4afa055bbb924b0c09effdd3b408fa08c9f3aed5aa7f220a7d283d2968,benign,1,19859,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7a0093065a3b7688ea3d4e8a8e8da3c9675acfb2bc65cc0b4943ce247c283b7d,benign,1,31605,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13771c60af6b7edcd1dff4225eb2ce537db54192aa20837a620e21a2718bafa6,benign,1,110302,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66ef9b9041bc6600a4d525af7f327b80169196069f0c11af5f14f6f4462498fc,benign,1,21678,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
d787ac81e937196ceae32bcbe312ab6117670bbf0ddeb2fdb4d8fc4b3df05c16,benign,1,27455,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2c2fdc9580487346ef176b623277d7938db10dd80a55bca78166ffca37e23695,benign,1,245401,71,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1c7fc1a07bf0a30b33b1423b9a81ad458837b249414c06c4689286c9c767bd58,benign,1,22104,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
